Date,Average weight (kg),Max weight (kg),Min weight (kg),Calories (kcal),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Circuit training duration (ms)
2020-02-16,,,,78.02649404513889,,,,,,,,,,,,,,,,,
2020-02-17,,,,1384.5,,,,,,,,,,,,,,,,,
2020-02-18,,,,1384.5,,,,,,,,,,,,,,,,,
2020-02-19,,,,1384.4999931204634,,,,,,,,,,,,,,,,,
2020-02-20,55.0,55.0,55.0,1423.391142401863,,,,,,,708,355.89408630132675,0.38113626584155913,1.3272285461425781,0.2557588517665863,9,,3350345,925294,,
2020-02-21,,,,1580.6519379707665,7.0,7,,,,,6396,3760.187554359436,0.42266647861280626,1.4537793397903442,0.2615191638469696,90,,76925123,4449722,92581,
2020-02-22,,,,1505.592148929332,7.0,7,,,,,4652,2526.5565987825394,0.4592336998085448,1.6075129508972168,0.24409450590610504,54,,75023644,2881004,,
2020-02-23,,,,1431.0740151851498,4.0,4,,,,,2376,1256.3532435894012,0.3588998313510335,1.3307636976242065,0.24389809370040894,26,,84258425,1108081,,
2020-02-24,,,,1498.0138915258815,10.0,10,,,,,6035,3456.1138916015625,0.4881629151611715,1.6158545017242432,0.2615191638469696,77,,80854876,2700704,,
2020-02-25,,,,1464.368745646592,6.0,6,,,,,3457,1912.2769442796707,0.4367244407117241,1.503686785697937,0.247860386967659,39,,80114975,1900224,,
2020-02-26,,,,1537.722882289208,4.0,4,,,,,3668,2186.098997116089,0.5243249638785015,1.4889895915985107,0.2719799280166626,61,,73788560,3645453,,
2020-02-27,,,,1533.557813990506,10.0,10,,,,,5870,3507.813906311989,0.5210970872540373,1.5047430992126465,0.2719799280166626,82,,79557046,3546360,,
2020-02-28,,,,1551.6922867155438,4.0,4,,,,,3718,2190.3988023996353,0.42094728736718634,1.3336541652679443,0.2652585506439209,59,,78034952,3977810,,
2020-02-29,,,,1487.3922945883644,6.0,5,,,,,2410,1315.3234839439392,0.36363104628513004,1.678960919380188,0.26817554235458374,29,,79521113,2447996,,
2020-03-01,,,,1518.8304773266357,7.0,7,,,,,4804,2816.0740287303925,0.5259341955788563,1.503164529800415,0.2707940936088562,58,,80734510,3195968,,
2020-03-02,,,,1596.9366726162864,9.0,9,,,,,5805,3485.095805168152,0.4702120642141175,1.6145949363708496,0.2375498265028,79,,78467150,5054258,,
2020-03-03,,,,1545.0437350553893,18.0,18,,,,,6197,3722.95106780529,0.3928867969154376,1.6330461502075195,0.2585985064506531,74,,78262445,3819631,,
2020-03-04,,,,1510.555317895457,3.0,3,,,,,3505,2053.032482624054,0.37065848136615803,1.3311842679977417,0.2719799280166626,64,,77231295,2999088,,
2020-03-05,,,,1560.3738881106356,7.0,7,,,,,4926,2878.3721784353256,0.3896197714116988,1.4854658842086792,0.24688716232776642,67,,73879698,4184364,,
2020-03-06,,,,1664.7004492706935,33.0,25,,,,,7700,5082.183117985725,0.6096059017545206,3.021373748779297,0.2719799280166626,85,,78226572,4882948,602774,
2020-03-07,,,,1612.4945272179,33.0,25,,,,,6959,4810.589245080948,0.3953326463403505,2.7250120639801025,0.24960929155349731,86,,79113394,3892355,490640,
2020-03-08,,,,1575.8205274336067,18.0,18,,,,,6542,4166.072355151176,0.48459127626049775,1.675110936164856,0.2510583996772766,84,,80087404,4551869,,
2020-03-09,,,,1653.545416481034,15.0,15,,,,,7377,4517.60257089138,0.4138312579400337,1.499272346496582,0.257395476102829,90,,77652334,5909718,209546,
2020-03-10,,,,1456.9220545364487,1.0,1,,,,,2342,1327.6134293079376,0.5845912363974175,1.4187818765640259,0.2663869857788086,28,,82236437,1723054,,
2020-03-11,,,,1517.1639475161237,9.0,9,,,,,5441,3342.798604249954,0.444463763295659,1.5835521221160889,0.23729993402957916,71,,80518040,3156319,,
2020-03-12,,,,1501.1469454490534,4.0,4,,,,,3539,2022.0864635705948,0.4210310272216385,1.3275377750396729,0.24511903524398804,48,,79742035,2775244,,
2020-03-13,,,,1625.6384672241481,12.0,12,,,,,7975,4697.975311875343,0.44779440440149043,1.677871584892273,0.2615191638469696,100,,78177628,5737125,,
2020-03-14,,,,1592.3315317389884,18.0,18,,,,,7505,4561.9624081254005,0.4583842380511317,1.505195140838623,0.2574606239795685,103,,76139251,4944689,,
2020-03-15,,,,1444.6777766069881,8.0,8,,,,,2374,1353.7018048763275,0.4451721698472019,1.3566570281982422,0.2515084445476532,27,,82802665,1431740,,
2020-03-16,,,,1606.32845804486,12.0,12,,,,,6437,3960.7756830453873,0.44281892371079246,1.6547508239746094,0.2378452718257904,80,,77927762,5277706,,
2020-03-17,,,,461.2900982262728,,,,,,,,,,,,,,28786903,,,
2021-02-02,,,,160.6285682986111,,,,,,,,,,,,,,,,,
2021-02-03,,,,1384.5,,,,,,,,,,,,,,,,,
2021-02-04,,,,1459.1267319315011,2.0,2,,,,,1972,1223.8426487445831,0.7559306577553991,1.163897156715393,0.2768423855304718,26,,,1775506,,
2021-02-05,,,,1500.2975538297849,,,,,,,2824,1665.4900906085968,0.4257204021153094,1.0253241062164307,0.27469602227211,45,,,2755036,,
2021-02-06,,,,1431.0063023255987,14.0,14,,,,,1946,1074.313940525055,0.3882859208201174,0.9918556809425354,0.282440721988678,52,872134,,170937,,
2021-02-07,,,,1509.853931739991,12.0,12,,,,,5822,3308.798359632492,0.4173867544590934,1.3359929323196411,0.2510583996772766,80,,,2756531,96323,
2021-02-08,,,,1306.686242754474,,,,,,,657,216.53787726163864,0.3595041590499528,0.8560750484466553,0.2821235954761505,6,,,61516,,
2021-02-09,,,,1384.5,,,,,,,620,303.7806746959686,0.311796696095034,0.31382298469543457,0.2796575129032135,10,,,,,
2021-02-10,,,,1465.4103948272966,,,,,,,3353,1817.50978910923,0.38675617040261856,1.0108855962753296,0.24366623163223267,53,,,1925006,,
2021-02-11,,,,1389.8153265335623,,,,,,,756,312.5677236318588,0.31211180938702854,0.37111175060272217,0.2671941816806793,10,,,126462,,
2021-02-12,,,,1423.0023781437174,,,,,,,1409,655.8900933265686,0.316829613907497,0.8330352306365967,0.2467959225177765,16,,,916043,,
2021-02-13,,,,1384.4998878868046,,,,,,,729,251.51699531128193,0.31595886600347645,0.6422576904296875,0.2454405128955841,8,,,,,
2021-02-14,,,,1561.8310411426878,51.0,51,,,,,3441,2056.23283493469,0.5380993686576062,2.2176482677459717,0.2675817608833313,71,2191079,,1461449,173661,
2021-02-15,,,,1395.468133895584,,,,,,,903,313.82301235198975,0.3431231485549762,0.7775559425354004,0.282440721988678,10,,,260953,,
2021-02-16,,,,1438.9539046017753,4.0,4,,,,,3280,1624.3207648992538,0.3197921002974706,1.5044536590576172,0.2646797001361847,40,,,1295559,,
2021-02-17,,,,1395.7752721710935,,,,,,,1220,532.871478676796,0.3978755911736625,0.5936591029167175,0.27131691575050354,18,,,268262,,
2021-02-18,,,,1402.8757559634303,,,,,,,1364,696.9912506341934,0.3488694228418379,0.9973316788673401,0.2719799280166626,17,,,437194,,
2021-02-19,,,,1455.1162962448961,15.0,15,,,,,3644,2280.2361706495285,0.3906484406829821,1.487662672996521,0.25852587819099426,45,,,1680089,,
2021-02-20,,,,1452.3847913964173,4.0,4,,,,,4540,2700.88804602623,0.5918647268935444,1.5370063781738281,0.2510583996772766,73,,,1615105,,
2021-02-21,,,,1523.6789265012212,25.0,25,,,,,12484,7461.332518815994,0.5230259806745247,1.6025125980377197,0.2469201534986496,186,,,3311322,,
2021-02-22,,,,1398.5300364227382,,,,,,,960,453.78808081150055,0.35703721640638486,0.7777981758117676,0.2584976255893707,16,,,333800,,
2021-02-23,,,,1418.6123780484954,2.0,2,,,,,2053,1129.9458063840866,0.3387089940527341,1.3356372117996216,0.2615191638469696,29,,,811597,,
2021-02-24,,,,1520.4020485361443,35.0,35,,,,,1849,983.1680933237076,0.4567953752263086,1.3339790105819702,0.2886858880519867,63,2082029,,999970,,
2021-02-25,,,,423.8891473863215,,,,,,,663,235.3672595024109,0.34427147767883126,0.48863598704338074,0.31382298469543457,6,,,,,
2021-02-26,,,,1384.5,,,,,,,1058,497.7232962846756,0.3439114244955926,0.6243089437484741,0.2667592763900757,16,,,,,
2021-02-27,,,,1389.3750918163303,,,,,,,1099,500.86152815818787,0.3188464839912107,0.8297762870788574,0.2515678107738495,12,,,115988,,
2021-02-28,,,,1431.5188317288373,,,,,,,1499,689.8709033727646,0.3979564144281766,0.8831438422203064,0.24575844407081604,19,,,1118666,,
2021-03-01,,,,1422.0170810231918,,,,,,,1814,775.3299552798271,0.38858099262930684,0.998480498790741,0.28579163551330566,17,,,56453,356582,
2021-03-02,,,,1483.4538836640281,30.0,30,,,,,4392,2835.087629199028,0.4239620404646466,1.502504587173462,0.29328325390815735,43,,,2354296,,
2021-03-03,,,,1366.8402584530452,,,,,,,989,394.30258835894267,0.4739481845261421,0.6682639122009277,0.2922575771808624,9,,,48499,,
2021-03-04,,,,1384.4999390023702,,,,,,,1348,641.0384886111577,0.3616366417929162,0.7249528765678406,0.2719799280166626,19,,,,,
2021-03-05,,,,1452.9250726567302,20.0,10,,,,,774,318.2165390253067,0.31876329813956433,0.41159865260124207,0.31344687938690186,23,,,,,644317
2021-03-06,,,,1462.1746785275711,,,,,,,2048,1014.9379033446312,0.5012828132289724,0.7817422747612,0.247274249792099,30,,2073,1848024,,
2021-03-07,,,,1550.2665781017893,25.0,25,,,,,4865,2486.206354379654,0.4463045504111534,1.5027343034744263,0.2563078701496124,86,1333359,,2513600,,
2021-03-08,,,,1379.351756368412,1.0,1,,,,,2031,1085.4059436321259,0.4424912251790069,1.171159267425537,0.26735982298851013,26,,,526960,,
2021-03-09,,,,,,,,,,,834,389.1405374407768,0.35178891432148385,0.5827159285545349,0.2469750940799713,12,,,,,
2021-03-10,,,,,,,,,,,612,246.6648886203766,0.3343382504124118,0.4543231725692749,0.24580712616443634,11,,,,,
2021-03-11,,,,,,,,,,,585,184.52792918682098,0.29965409752514127,0.31382298469543457,0.2821387052536011,5,,,,,
2021-03-12,,,,,,,,,,,430,229.71844506263733,0.3536867227997657,0.4184844195842743,0.2929014563560486,7,,,,,
2021-03-13,,,,,,,,,,,1432,759.7557816505432,0.3699049895100899,1.0934803485870361,0.2873191237449646,24,,,,,
2021-03-14,,,,1384.500060224752,1.0,1,,,,,1102,583.8919039964676,0.39558591137959676,1.1711691617965698,0.23149119317531586,20,,,,,
2021-03-15,,,,1387.388875237556,,,,,,,608,275.5366053581238,0.321975551656662,0.8095815777778625,0.247873455286026,6,,,68731,,
2021-03-16,,,,1195.8171036619112,1.0,1,,,,,1365,755.4729768037796,0.3441846081970133,1.281403660774231,0.2719799280166626,19,,,522921,,
2021-03-17,,,,,,,,,,,1180,471.98981392383575,0.3168665965876784,0.5132980942726135,0.2510583996772766,12,,,,,
2021-03-18,,,,1384.4999345481037,,,,,,,1039,478.8939278125763,0.3422506001199913,0.5749837160110474,0.29276132583618164,14,,,,,
2021-03-19,,,,1384.4999345481037,,,,,,,846,382.8640776872635,0.33442839958233356,0.5659086108207703,0.2929014563560486,12,,,,,
2021-03-20,,,,1427.3056133578189,1.0,1,,,,,1890,1064.72427546978,0.36442336316903046,1.3751078844070435,0.2510583996772766,27,,,1018425,,
2021-03-21,,,,1444.9629959689312,4.0,4,,,,,5424,2949.134984254837,0.364524248841634,1.471968173980713,0.24613572657108307,64,,,2955256,,
2021-03-22,,,,1384.4999351984504,,,,,,,693,300.01480209827423,0.31022050140178,0.8687837719917297,0.286955863237381,8,,,,,
2021-03-23,,,,1366.7257760284099,32.0,32,,,,,2075,1217.3703498840332,0.426664644115675,1.3043071031570435,0.31382298469543457,66,1818284,,1322698,,
2021-03-24,,,,1384.4999996304598,,,,,,,293,122.39097785949707,0.31382299959659576,0.31382301449775696,0.31382298469543457,4,,,,,
2021-03-25,,,,1426.2775083240576,,,,,,,1928,1033.7800904512405,0.32611349201740747,1.0223530530929565,0.2586250305175781,27,,,993963,,
2021-03-26,,,,1388.6725207136612,,,,,,,845,429.2222160100937,0.32398836110507884,1.109346628189087,0.2510271370410919,12,,,99271,,
2021-03-27,,,,1450.056245975428,2.0,2,,,,,2843,1612.4789762496948,0.38115167703595493,1.4050158262252808,0.2723439037799835,37,,,1559702,,
2021-03-28,,,,1428.358650824478,3.0,3,,,,,3410,1917.0399253368378,0.32935935158720925,1.3276753425598145,0.2615191638469696,49,,,1043479,,
2021-03-29,,,,1384.4999021864005,,,,,,,411,195.82556343078613,0.31382298506888284,0.31382301449775696,0.31382298469543457,6,,,,,
2021-03-30,,,,1400.7189457506786,,,,,,,1822,913.2249734401703,0.31182597319502636,0.7823374271392822,0.2615191638469696,28,,,385880,,
2021-03-31,,,,1384.499892258667,,,,,,,1062,487.6809672117233,0.34592182402702476,0.6230926513671875,0.31382298469543457,18,,,,,
2021-04-01,,,,1445.6826498430464,,,,,,,2795,1669.1862444877625,0.32163259138413786,0.9435356259346008,0.29337078332901,50,,,1455652,,
2021-04-02,,,,1384.4999919605957,,,,,,,1003,471.36216974258423,0.34293897849646876,0.6855367422103882,0.2821638882160187,14,,,,,
2021-04-03,,,,1434.151254208687,,,,,,,1922,1105.2846670150757,0.3280829748679403,0.8335826396942139,0.31382298469543457,32,,,1181294,,
2021-04-04,,,,1384.5000003734592,,,,,,,1818,851.7156590223312,0.3465020363303138,0.6674990057945251,0.23796728253364563,23,,,,,
2021-04-05,,,,1401.9551845484252,,,,,,,2195,1075.3377785682678,0.35744824670453296,0.9763336181640625,0.2829172909259796,34,,,415291,,
2021-04-06,,,,1448.6919561116506,,,,,,,4001,2058.4184043561627,0.32532474405085515,0.829869270324707,0.2510583996772766,62,,,1527245,,
2021-04-07,,,,1512.8609116882458,30.0,30,,,,,5970,3681.540773018677,0.3718950920646526,1.3275190591812134,0.282440721988678,100,768957,,2229085,,
2021-04-08,,,,1416.8754595221899,2.0,2,,,,,1763,984.4116711616516,0.4148141050543442,1.2565665245056152,0.2510583996772766,32,,,770273,,
2021-04-09,,,,1513.452585856281,22.0,11,,,,,3527,1991.4715722799301,0.3609135924784169,1.055637240409851,0.2615191638469696,60,,,1260533,,715371
2021-04-10,,,,1590.094660856458,32.0,16,,,,,3802,1951.0108346939087,0.4548630165414795,1.0014808177947998,0.2929014563560486,63,,,2316122,,1019279
2021-04-11,,,,1429.3323247913095,,,,,,,2354,1123.6323778629303,0.36128074442224944,0.5710424184799194,0.24623064696788788,38,,,1066643,,
2021-04-12,,,,1410.4750050868813,2.0,2,,,,,1966,920.2258942127228,0.6555422779160871,1.3073766231536865,0.2510583996772766,22,,,617994,,
2021-04-13,,,,1490.4128666100858,4.0,4,,,,,3793,2251.9980145692825,0.4732359550975985,1.2993031740188599,0.2510583996772766,55,,,2519864,,
2021-04-14,,,,1483.3842256742585,28.0,14,,,,,1326,628.9812195301056,0.3587753842635069,1.0162851810455322,0.3033622205257416,33,,,,,931132
2021-04-15,,,,1576.624497278156,50.0,25,,,,,2154,1084.5723425149918,0.3926229580868875,0.8087748289108276,0.2510583996772766,54,,,493381,,1613847
2021-04-16,,,,1656.6681962295559,50.0,25,,,,,3032,1693.7300531864166,0.38808758471917176,0.9479346871376038,0.2510583996772766,70,,,2236390,,1677717
2021-04-17,,,,1458.4951841691834,2.0,2,,,,,3476,2102.381547808647,0.36190145265401535,1.602072834968567,0.2510583996772766,50,,,1760483,,
2021-04-18,,,,1388.1313734550445,,,,,,,785,461.4177141189575,0.3163059403563844,1.2007111310958862,0.2510583996772766,14,,,86398,,
2021-04-19,,,,1500.0645234081949,29.0,15,,,,,1032,578.5263481140137,0.48481505830791444,1.3779103755950928,0.282440721988678,25,,,439462,,914269
2021-04-20,,,,1477.1687412182764,26.0,13,,,,,868,482.65979385375977,0.4633452578061767,0.7405073046684265,0.3138229548931122,27,,,,,872605
2021-04-21,,,,752.6114120731786,,,,,,,165,94.77455139160156,0.31382301449775696,0.31382301449775696,0.31382301449775696,4,,,96405,,
